Zip Code,Location,Population,Avg. Income/H/hold,City,Latitude,Longitude,NatRank
77010,"29.754310, -95.361109",76,200000.00,Houston,29.75431,95.361109,1
76092,"32.949546, -97.141520","21,068",130655.00,Southlake,32.949546,97.14152,51
78730,"30.363632, -97.850355","4,885",128524.00,Austin,30.363632,97.850355,58
77094,"29.769285, -95.681292","7,779",123244.00,Houston,29.769285,95.681292,78
76034,"32.890063, -97.147489","19,643",117169.00,Colleyville,32.890063,97.147489,107
75022,"33.025915, -97.115190","13,824",109351.00,Flower Mound,33.025915,97.11519,153
77046,"29.733084, -95.430659",471,105863.00,Houston,29.733084,95.430659,181
77059,"29.615219, -95.134960","16,690",104844.00,Houston,29.615219,95.13496,197
77382,"30.213093, -95.532075","14,107",104372.00,Spring,30.213093,95.532075,200
77005,"29.718435, -95.423555","23,338",104035.00,Houston,29.718435,95.423555,208
78732,"30.382536, -97.894904","3,629",103951.00,Austin,30.382536,97.894904,209
78739,"30.178839, -97.889064","8,643",102707.00,Austin,30.178839,97.889064,227
77345,"30.057950, -95.161236","22,622",102561.00,Kingwood,30.05795,95.161236,230
78738,"30.327510, -97.989040","2,840",102295.00,Austin,30.32751,97.98904,231
78733,"30.323857, -97.894860","8,716",102239.00,Austin,30.323857,97.89486,232
75093,"33.034926, -96.808645","43,958",101884.00,Plano,33.034926,96.808645,237
78746,"30.296951, -97.811647","26,023",100571.00,Austin,30.296951,97.811647,255
75013,"33.121164, -96.697045","11,624",100149.00,Allen,33.121164,96.697045,269
75082,"32.993708, -96.659171","15,550",100080.00,Richardson,32.993708,96.659171,272
78015,"29.747683, -98.650270","5,654",99422.00,Boerne,29.747683,98.65027,280
75225,"32.864887, -96.790359","20,314",98838.00,Dallas,32.864887,96.790359,288
75025,"33.090085, -96.740008","39,696",98480.00,Plano,33.090085,96.740008,295
75019,"32.966926, -96.985331","35,737",96840.00,Coppell,32.966926,96.985331,325
77479,"29.561672, -95.633866","56,016",96118.00,Sugar Land,29.561672,95.633866,332
78261,"29.705479, -98.402849","1,119",92154.00,San Antonio,29.705479,98.402849,411
75028,"33.031268, -97.061122","35,738",91855.00,Flower Mound,33.031268,97.061122,416
78258,"29.647111, -98.500768","17,355",91509.00,San Antonio,29.647111,98.500768,422
77381,"30.177126, -95.502489","35,952",91488.00,Spring,30.177126,95.502489,424
76226,"33.105108, -97.179017","6,870",90942.00,Argyle,33.105108,97.179017,437
78248,"29.590028, -98.525262","13,346",90014.00,San Antonio,29.590028,98.525262,460
78726,"30.430488, -97.842530","6,480",89891.00,Austin,30.430488,97.84253,462
78257,"29.645952, -98.586842","2,415",88852.00,San Antonio,29.645952,98.586842,489
75024,"33.069023, -96.804818","19,743",88195.00,Plano,33.069023,96.804818,503
77401,"29.704019, -95.460905","15,964",87985.00,Bellaire,29.704019,95.460905,510
78255,"29.671542, -98.681345","3,293",87621.00,San Antonio,29.671542,98.681345,529
78259,"29.636701, -98.401619","9,345",87420.00,San Antonio,29.636701,98.401619,541
