region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets_json,carbon_offset_metric_tons,existing_installs_count
75001,Texas,32.9873585,32.9334719,-96.8191062,-96.855527,32.95666041,-96.84236001,1126.25,2197,97.38219895,90.86021505,14234,44163,20554,38084,391608,45,508643,11.25,127160.75,4093121.698,15843328.85,6436232.836,12381981.86,134235198.2,14600.86172,172989863.5,"[[0,387],[5,623],[10,263],[15,110],[20,101],[25,69],[30,70],[35,52],[40,43],[45,44],[50,30],[55,20],[60,18],[65,16],[70,15],[75,13],[80,12],[85,7],[90,12],[95,9],[100,10],[105,8],[110,5],[115,8],[120,8],[125,11],[130,3],[135,4],[140,3],[145,6],[150,11],[155,2],[160,7],[165,3],[175,5],[180,6],[185,11],[190,4],[195,6],[200,3],[205,3],[210,4],[215,3],[220,4],[225,6],[230,4],[235,1],[240,5],[245,5],[250,1],[255,4],[260,1],[265,2],[270,2],[275,3],[280,4],[285,5],[290,4],[295,3],[300,4],[305,2],[310,2],[315,1],[320,3],[325,1],[330,3],[335,2],[340,1],[350,1],[355,2],[360,1],[370,2],[380,5],[385,1],[390,1],[405,1],[410,1],[415,3],[420,1],[425,1],[430,1],[435,1],[440,1],[445,5],[475,2],[480,1],[485,1],[490,1],[510,2],[515,1],[530,1],[550,1],[560,1],[580,1],[585,1],[610,2],[615,1],[620,1],[630,1],[655,1],[665,1],[700,1],[715,1],[725,1],[740,1],[780,1],[805,1],[825,1],[835,1],[875,1],[890,1],[920,1],[960,1],[985,2],[995,1],[1025,1],[1050,2],[1055,1],[1120,1],[1160,1],[1175,1],[1200,1],[1410,1],[1605,1],[1705,1],[1990,1],[2300,1]]",84122.62633,7
75002,Texas,33.1362663,33.0347427,-96.5377705,-96.6835898,33.09533314,-96.63242337,1134.75,21228,93.37421734,97.49689983,67729,443065,237054,405018,351283,51,1504149,12.75,376037.25,19840514.55,158997820,72558412.48,129996597.5,120412497.1,16851.31776,501805841.6,"[[0,1231],[5,5211],[10,6978],[15,4384],[20,1745],[25,639],[30,321],[35,168],[40,108],[45,66],[50,42],[55,35],[60,28],[65,24],[70,16],[75,25],[80,20],[85,14],[90,11],[95,7],[100,5],[105,4],[110,5],[115,6],[120,1],[125,6],[130,4],[135,4],[140,7],[145,6],[150,3],[155,2],[160,2],[165,1],[170,1],[175,2],[180,1],[185,4],[190,3],[195,1],[205,1],[215,3],[220,1],[225,4],[230,1],[245,1],[250,1],[255,1],[265,1],[290,3],[295,1],[300,1],[305,1],[330,1],[335,1],[340,1],[350,1],[355,2],[365,1],[375,1],[390,1],[395,1],[400,1],[410,1],[425,1],[430,1],[435,1],[440,1],[450,1],[460,1],[465,1],[525,1],[580,1],[585,1],[590,1],[605,1],[625,2],[675,1],[705,1],[720,1],[755,1],[775,1],[780,2],[790,1],[810,1],[835,1],[850,1],[865,1],[900,1],[920,1],[940,1],[945,1],[975,1],[1000,1],[1010,1],[1065,1],[1070,1],[1090,1],[1110,1],[1135,1],[1180,1],[1200,1],[1230,1],[1250,1],[1260,1],[1275,1],[1290,1],[1335,1],[1360,1],[1435,1],[1440,1],[1545,1],[1740,1],[2095,1],[2180,1],[2550,1],[3210,1]]",244021.3806,80
75006,Texas,32.98949,32.9184958,-96.8390362,-96.9409794,32.96686913,-96.88416632,1126.251332,10688,97.73315554,85.77849117,58461,189230,105815,151490,1169359,47,1674355,11.75,418588.75,16985453.53,67186545.79,32927858.59,49163439.95,402906936.6,15409.19263,569170234.4,"[[0,1620],[5,2728],[10,2459],[15,1494],[20,777],[25,296],[30,185],[35,95],[40,86],[45,55],[50,50],[55,51],[60,41],[65,27],[70,32],[75,31],[80,22],[85,21],[90,21],[95,17],[100,15],[105,15],[110,13],[115,13],[120,18],[125,12],[130,11],[135,17],[140,7],[145,9],[150,5],[155,9],[160,8],[165,4],[170,9],[175,8],[180,7],[185,7],[190,3],[195,8],[200,6],[205,7],[210,2],[215,3],[220,10],[225,3],[230,8],[235,5],[240,4],[245,7],[250,7],[255,8],[260,4],[265,3],[270,5],[275,3],[280,2],[285,7],[290,3],[295,7],[300,2],[305,3],[310,3],[315,3],[320,4],[325,1],[335,3],[340,2],[345,3],[350,2],[355,1],[360,5],[365,1],[370,3],[375,1],[380,5],[385,1],[390,2],[395,2],[400,2],[405,5],[410,5],[415,7],[420,1],[425,4],[430,1],[435,7],[440,2],[445,5],[455,1],[460,2],[465,1],[470,3],[475,4],[480,1],[485,3],[495,3],[500,2],[505,2],[510,1],[520,1],[530,3],[545,4],[550,2],[555,3],[560,2],[565,4],[570,1],[575,5],[580,2],[585,2],[590,1],[600,2],[620,2],[625,2],[635,1],[640,1],[645,2],[655,2],[665,3],[675,1],[685,1],[695,1],[700,1],[705,2],[710,3],[715,1],[725,1],[735,2],[745,2],[750,1],[755,1],[760,2],[765,1],[780,2],[785,2],[790,1],[800,3],[805,1],[810,2],[830,1],[835,1],[845,1],[855,1],[860,2],[865,2],[870,1],[875,1],[885,1],[900,1],[905,3],[915,1],[920,2],[935,1],[940,1],[955,1],[990,1],[1000,1],[1005,2],[1020,1],[1025,1],[1030,1],[1035,1],[1040,1],[1050,1],[1065,1],[1075,1],[1085,1],[1105,1],[1110,2],[1115,1],[1130,1],[1135,1],[1145,1],[1150,3],[1160,1],[1165,1],[1190,1],[1195,1],[1220,3],[1240,1],[1260,1],[1270,2],[1280,1],[1290,2],[1330,1],[1385,1],[1405,1],[1435,1],[1460,1],[1465,1],[1470,1],[1485,1],[1490,1],[1600,1],[1640,1],[1655,1],[1665,1],[1680,3],[1690,1],[1705,1],[1730,1],[1735,1],[1745,1],[1860,1],[1865,1],[1885,1],[1905,1],[1930,1],[1970,1],[2030,1],[2505,1],[2515,1],[2570,1],[2625,1],[2630,1],[3300,1],[3385,1]]",276779.7719,30
75007,Texas,33.0295312,32.983954,-96.8438521,-96.9510251,33.00627017,-96.89286002,1139.13257,14224,99.17952486,87.81331029,69232,263390,170638,198412,270031,45,971703,11.25,242925.75,20198991.54,93725336.59,53460216.01,64302599.51,92526573.46,14917.82549,324213717.1,"[[0,2491],[5,3625],[10,3125],[15,2234],[20,1471],[25,704],[30,214],[35,55],[40,34],[45,35],[50,19],[55,23],[60,13],[65,19],[70,13],[75,8],[80,6],[85,9],[90,6],[95,1],[100,4],[105,2],[110,7],[115,3],[120,1],[125,5],[135,6],[140,2],[145,2],[150,1],[155,1],[160,2],[165,1],[175,2],[210,1],[215,1],[220,1],[230,2],[235,2],[250,1],[255,1],[260,2],[265,1],[280,2],[285,1],[290,2],[295,2],[320,1],[330,2],[335,1],[340,1],[360,2],[370,1],[385,2],[410,2],[415,1],[420,1],[450,1],[455,1],[480,2],[495,1],[500,1],[510,2],[515,1],[540,1],[545,1],[565,1],[570,1],[585,1],[595,1],[610,1],[625,1],[665,2],[670,1],[695,3],[770,2],[780,1],[805,1],[810,1],[935,1],[965,1],[1050,1],[1165,1],[1170,1],[1225,2],[1235,1],[1285,1],[1345,2],[1440,1],[1585,1],[1690,1],[1785,2],[1860,1],[2065,1],[2275,1]]",157660.737,47
75010,Texas,33.0607134,33.006539,-96.849595,-96.9492214,33.02940946,-96.89705339,1139.85,6064,93.59923246,88.7977742,11129,107373,71642,78176,127370,35,395690,8.75,98922.5,3239891.841,38487548.75,22610795.74,25145648.45,43509323.8,11870.76745,132993208.6,"[[0,1356],[5,2057],[10,1236],[15,581],[20,206],[25,98],[30,92],[35,78],[40,52],[45,50],[50,46],[55,25],[60,21],[65,19],[70,15],[75,17],[80,17],[85,6],[90,13],[95,6],[100,4],[105,3],[110,6],[115,3],[120,3],[125,3],[130,2],[135,2],[140,1],[150,2],[155,1],[160,4],[170,2],[175,2],[190,2],[195,2],[220,1],[230,1],[240,1],[250,1],[255,1],[260,2],[265,1],[275,2],[300,2],[305,1],[325,1],[385,1],[390,1],[420,1],[470,1],[520,1],[540,1],[555,1],[575,1],[610,1],[635,1],[720,1],[795,1],[885,1],[900,1],[1175,1],[1350,1],[3855,1]]",64672.79507,15
75013,Texas,33.1506095,33.0777996,-96.652036,-96.7362069,33.11286917,-96.69973764,1134.75,11464,93.29322102,98.58113337,13449,227964,114606,220009,389876,48,965904,12,241476,3915559.854,80826109.02,34960789.03,70059110.64,133333881.8,15920.80972,323095450.4,"[[0,697],[5,3326],[10,3683],[15,2001],[20,714],[25,242],[30,120],[35,131],[40,135],[45,61],[50,30],[55,14],[60,22],[65,19],[70,14],[75,20],[80,22],[85,14],[90,13],[95,4],[100,10],[105,5],[110,11],[115,7],[120,7],[125,4],[130,7],[135,3],[140,3],[145,5],[150,2],[155,1],[160,4],[165,1],[170,4],[175,4],[180,2],[185,4],[190,1],[195,1],[215,1],[220,2],[225,3],[230,2],[235,1],[240,1],[245,2],[255,2],[260,2],[265,1],[270,1],[275,2],[280,1],[285,1],[290,1],[295,4],[305,1],[315,1],[320,1],[330,1],[335,1],[370,1],[395,1],[425,2],[435,2],[450,3],[475,1],[495,1],[505,1],[550,1],[590,1],[610,2],[615,1],[650,1],[670,3],[680,2],[700,2],[720,1],[735,1],[740,1],[770,1],[790,1],[800,1],[810,1],[820,1],[865,1],[895,1],[910,1],[915,2],[945,1],[985,1],[990,1],[1005,1],[1025,1],[1120,1],[1130,1],[1145,2],[1150,1],[1160,1],[1225,1],[1420,1],[1450,1],[1465,1],[1490,1],[1500,1],[1505,1],[1555,1],[1575,1],[1715,1],[1780,1],[2015,1],[2135,1],[2205,1],[3065,1]]",157116.9391,56
75019,Texas,32.9932316,32.9269149,-96.9390081,-97.0316919,32.96956848,-96.98236879,1126.525434,10485,96.6463179,83.83305349,18372,171314,68012,118411,492213,30,868322,7.5,217080.5,5289894.185,59832711.76,21049798.05,37610535.28,169113120,9795.567365,292896059.3,"[[0,2938],[5,3907],[10,1996],[15,765],[20,304],[25,141],[30,85],[35,46],[40,36],[45,36],[50,24],[55,20],[60,9],[65,8],[70,8],[75,6],[80,2],[85,2],[90,2],[95,1],[100,4],[105,2],[110,4],[115,3],[125,3],[135,4],[140,1],[150,1],[160,1],[165,1],[170,2],[175,1],[185,2],[190,2],[195,1],[205,2],[215,1],[225,1],[230,2],[235,1],[240,1],[250,3],[255,2],[260,2],[265,3],[270,3],[285,1],[290,2],[305,2],[325,1],[340,1],[360,3],[365,1],[375,3],[380,2],[385,1],[400,1],[410,1],[420,1],[425,2],[430,1],[450,1],[480,1],[485,1],[500,1],[515,1],[520,2],[525,1],[535,1],[545,1],[560,1],[585,1],[590,1],[595,1],[605,1],[625,1],[665,1],[680,1],[700,1],[710,1],[725,1],[730,1],[755,1],[760,2],[765,1],[770,1],[775,2],[805,1],[815,2],[920,1],[985,1],[990,1],[1005,1],[1085,1],[1090,1],[1115,1],[1120,1],[1140,1],[1155,1],[1165,2],[1180,1],[1215,1],[1245,1],[1295,1],[1330,1],[1410,1],[1455,1],[1465,1],[1470,1],[1510,1],[1695,1],[1895,1],[1905,1],[2035,1],[2055,1],[2205,1],[2255,1],[2310,1],[2570,1],[2685,1],[2755,1],[2790,1],[2855,1],[2985,1],[3570,1],[3940,1],[4005,1],[4135,1],[4540,1]]",142431.3845,31
75020,Texas,33.8627352,33.6962236,-96.5296225,-96.6851773,33.7524823,-96.5727564,1126.25,7815,81.71609806,81.97839085,32366,102193,68480,81772,354182,39,638993,9.75,159748.25,9559877.407,35562411.91,21286936.31,26164119.12,119494360.6,12407.33545,212067705.3,"[[0,1510],[5,2457],[10,1668],[15,894],[20,438],[25,198],[30,103],[35,72],[40,65],[45,39],[50,33],[55,31],[60,24],[65,27],[70,21],[75,21],[80,22],[85,8],[90,4],[95,10],[100,12],[105,8],[110,9],[115,8],[120,11],[125,7],[130,6],[135,5],[140,5],[145,2],[150,7],[155,2],[160,3],[165,2],[170,1],[175,2],[180,2],[185,3],[190,1],[200,4],[205,1],[210,1],[215,1],[225,1],[230,2],[235,1],[240,4],[255,1],[260,3],[265,2],[270,2],[285,1],[290,2],[295,1],[300,1],[310,1],[315,1],[325,1],[335,1],[340,2],[360,4],[370,2],[380,2],[395,1],[405,2],[425,2],[495,1],[540,1],[620,1],[635,1],[675,1],[695,1],[705,1],[710,1],[845,1],[855,1],[910,1],[995,1],[1105,1],[1115,1],[1140,1],[1200,1],[1265,1],[1405,1],[1565,1],[1580,1],[1855,1],[1965,1],[2205,1],[2255,1],[2270,1],[2445,1],[3205,1]]",103125.6513,0
75021,Texas,33.7964479,33.671776,-96.3810167,-96.5742932,33.73263566,-96.5031939,1126.25,1470,38.72432859,74.96175421,4430,14368,10953,13295,53113,31,96159,7.75,24039.75,1302471.062,4959976.233,3419307.405,4264727.801,17912895.19,10104.79813,31859377.69,"[[0,372],[5,533],[10,268],[15,117],[20,53],[25,26],[30,17],[35,13],[40,8],[45,5],[50,5],[55,3],[60,4],[65,3],[70,6],[75,1],[80,6],[85,1],[90,1],[95,2],[100,4],[105,1],[110,3],[115,3],[125,1],[135,1],[150,1],[170,1],[180,1],[190,1],[225,1],[235,2],[240,1],[245,1],[330,1],[620,1],[890,1],[2745,1]]",15492.78363,0
75022,Texas,33.06965,32.9828724,-97.0630054,-97.177616,33.02422522,-97.10160134,1139.851247,6658,94.71126027,81.35386119,6877,111947,35966,64103,36706,27,255599,6.75,63899.75,2018868.603,39505290.02,11093649.94,20494837.41,12396198.61,8978.056519,85508844.58,"[[0,2092],[5,2716],[10,1042],[15,375],[20,136],[25,80],[30,46],[35,38],[40,26],[45,25],[50,15],[55,10],[60,10],[65,7],[70,4],[75,2],[80,5],[85,1],[90,2],[95,3],[100,4],[105,1],[110,2],[115,1],[120,1],[125,1],[135,2],[175,1],[180,1],[185,1],[200,1],[220,1],[250,1],[320,1],[360,1],[405,2],[610,1]]",41581.79234,44
